"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Irelia","Middle",1,"1.4%","14.9%","20.3%","0%","100%",5,5,7,2.4,"30.8%","13.2%","0%",-528,475,13,8.1,"24.4%",444,"15.9%","20.7%",0.34,0.36
"Irelia","Top",3,"4.1%","14.9%","20.3%","67%","100%",10,15,13,1.5,"56.1%","33.3%","33%",927,368,19.3,8.1,"23.5%",407,"21.6%","22.8%",0.42,0.1
"Ivern","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Middle",1,"1.4%","4.1%","16.2%","0%","0%",4,5,8,2.4,"85.7%","26.3%","100%",57,366,-6,7.6,"30.2%",636,"31.9%","29.1%",0.4,0.33
"Jayce","Top",8,"10.8%","4.1%","16.2%","75%","75%",28,22,48,3.5,"58.0%","24.7%","25%",185,140,6.4,8.7,"29.7%",619,"29.3%","23.8%",0.45,0.2
"Jhin","ADC",2,"2.7%","0.0%","2.7%","0%","100%",6,3,6,4,"66.7%","7.9%","0%",-204,-63,-8,7.3,"25.4%",386,"22.1%","25.4%",0.46,0.17
"Jinx","ADC",27,"36.5%","36.5%","73.0%","48%","30%",115,59,148,4.5,"68.8%","15.9%","22%",33,-65,6.1,9.6,"33.9%",613,"30.7%","28.4%",0.37,0.38
"Kai'Sa","ADC",26,"35.1%","29.7%","64.9%","42%","62%",130,68,105,3.5,"62.0%","17.3%","31%",-8,-40,6,9.3,"31.5%",455,"25.0%","27.6%",0.6,0.33
"Kalista","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Karma","Support",1,"1.4%","8.1%","13.5%","0%","100%",0,2,5,2.5,"55.6%","10.0%","0%",-136,-281,0,1.2,"2.0%",160,"8.6%","6.9%",1.22,0.24
"Karma","Top",3,"4.1%","8.1%","13.5%","33%","33%",2,12,17,1.6,"70.4%","25.5%","33%",-313,-111,1,5.4,"13.4%",238,"14.8%","15.3%",0.56,0.1
"Karthus","ADC",2,"2.7%","12.2%","16.2%","100%","100%",15,9,29,4.9,"83.0%","31.0%","50%",440,86,8,8.8,"29.1%",940,"34.7%","25.4%",0.29,0.13
"Karthus","Jungle",1,"1.4%","12.2%","16.2%","0%","100%",0,8,3,0.4,"75.0%","42.1%","0%",-974,-409,-3,6.2,"23.7%",597,"39.3%","20.1%",0.46,0.26
"Kassadin","-",0,"0%","4.1%","4.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Katarina","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kayn","Jungle",3,"4.1%","1.4%","5.4%","33%","67%",7,11,15,2,"57.9%","20.8%","33%",467,632,15.7,7,"21.1%",342,"22.4%","21.0%",0.6,0.59
"Kennen","Top",2,"2.7%","0.0%","2.7%","0%","50%",8,9,14,2.4,"71.0%","22.0%","0%",-198,115,-1,7.1,"22.7%",630,"25.6%","23.2%",0.31,0.12
"Kha'Zix","Jungle",2,"2.7%","1.4%","4.1%","50%","100%",11,5,9,4,"69.0%","20.0%","100%",-13,124,-1.5,6.8,"22.4%",453,"22.4%","21.7%",0.19,0.22
"Kindred","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",1,"1.4%","0.0%","2.7%","100%","100%",3,3,8,3.7,"57.9%","20.0%","0%",-18,-749,-16,5.2,"14.3%",153,"10.0%","14.5%",0.64,0.16
"Lee Sin","Top",1,"1.4%","0.0%","2.7%","100%","0%",8,2,10,9,"52.9%","18.2%","0%",-582,-808,-11,6.2,"20.3%",623,"19.8%","18.8%",0.5,0.23
"Leona","Support",13,"17.6%","2.7%","20.3%","62%","38%",5,47,125,2.8,"65.7%","29.0%","23%",58,124,2.9,1.3,"3.6%",129,"6.5%","8.7%",1.42,0.5
"Lillia","Jungle",12,"16.2%","20.3%","36.5%","33%","58%",28,35,76,3,"69.3%","19.4%","25%",48,223,2.4,6.6,"19.6%",365,"19.1%","19.1%",0.31,0.28
"Lucian","ADC",1,"1.4%","8.1%","17.6%","0%","100%",3,1,7,10,"71.4%","5.3%","0%",-21,127,5,10.1,"35.3%",956,"36.4%","26.7%",0.41,0.66
